HEF Einfamilienhaushalt Klasse 5 Bayern
Auspraegung	A	B	C	D	mH	bH	mW	bW
HEF05	0	0	0	0	0	0	0	0
HEF34	1.3819663	-37.4124155	6.1723179	0.0396284	-0.0672159	1.1167138	-0.0019982	0.1355070
HEF33	1.6209544	-37.1833141	5.6727847	0.0716431	-0.0495700	0.8401015	-0.0022090	0.1074468
HEF02	0	0	0	0	0	0	0	0
HEF01	0	0	0	0	0	0	0	0
WTfakt	Mo	Di	Mi	Do	Fr	Sa	So
_	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Stundenverteilung in %
StuetzT	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
22.5	2.39	2.51	2.41	2.33	3.70	4.98	4.45	5.76	5.05	5.13	4.83	4.66	4.69	4.29	4.37	4.00	3.93	4.19	4.41	4.55	4.97	4.83	4.40	3.17
27.5	2.39	2.51	2.41	2.33	3.70	4.98	4.45	5.76	5.05	5.13	4.83	4.66	4.69	4.29	4.37	4.00	3.93	4.19	4.41	4.55	4.97	4.83	4.40	3.17
Sonntag
-17.5	3.01	2.97	2.94	3.04	3.51	5.37	5.64	4.64	4.59	4.45	4.20	4.33	4.24	4.20	4.18	4.29	4.36	4.57	4.53	4.64	4.55	4.32	4.19	3.24
-12.5	3.00	2.95	2.92	3.03	3.51	5.40	5.32	4.67	4.62	4.48	4.22	4.35	4.26	4.21	4.19	4.31	4.38	4.60	4.56	4.66	4.58	4.35	4.20	3.23
-7.5	2.94	2.89	2.86	2.97	3.48	5.44	5.33	4.70	4.64	4.49	4.23	4.37	4.27	4.22	4.20	4.31	4.40	4.62	4.58	4.69	4.61	4.36	4.21	3.19
-2.5	2.57	2.65	2.70	2.90	3.46	5.09	5.10	4.84	4.91	4.81	4.65	4.53	4.47	4.38	4.36	4.40	4.58	4.72	4.78	4.76	4.61	4.23	3.74	2.76
2.5	2.32	2.48	2.53	2.75	3.37	5.08	5.09	4.95	4.87	4.76	4.63	4.46	4.42	4.40	4.42	4.46	4.65	4.81	4.91	4.91	4.80	4.40	3.77	2.76
7.5	2.22	2.43	2.34	2.59	3.46	5.08	5.23	5.09	4.97	4.70	4.53	4.36	4.27	4.21	4.22	4.33	4.55	4.78	4.99	5.13	5.10	4.67	3.91	2.84
12.5	2.14	2.11	2.06	2.33	3.41	5.19	6.01	5.58	5.26	4.93	4.68	4.42	4.31	4.18	4.03	4.05	4.14	4.35	4.68	5.05	5.18	4.97	4.10	2.84
17.5	2.16	2.18	2.03	2.24	3.64	5.32	5.96	5.86	5.25	5.16	4.81	4.55	4.52	4.11	4.07	3.86	3.91	4.09	4.43	4.72	4.98	4.95	4.22	2.98
22.5	2.39	2.51	2.41	2.33	3.70	4.98	4.45	5.76	5.05	5.13	4.83	4.66	4.69	4.29	4.37	4.00	3.93	4.19	4.41	4.55	4.97	4.83	4.40	3.17
27.5	2.39	2.51	2.41	2.33	3.70	4.98	4.45	5.76	5.05	5.13	4.83	4.66	4.69	4.29	4.37	4.00	3.93	4.19	4.41	4.55	4.97	4.83	4.40	3.17
GKO Gebietskoerpersch.. Kreditinst. u. Versich.. Org. o. Erwerbszw. & oeff. Einr.
Auspraegung	A	B	C	D
GKO05	0	0	0	0	0	0	0	0
GKO34	1.4256684	-36.6590504	7.6083226	0.0371116	-0.0809359	1.2364527	-0.0007628	0.1002979
GKO33	1.3554515	-35.1412563	7.1303395	0.0990619	-0.0526487	0.8626086	-0.0008808	0.0964014
GKO02	0	0	0	0	0	0	0	0
GKO01	0	0	0	0	0	0	0	0
WTfakt	Mo	Di	Mi	Do	Fr	Sa	So
_	1.0354	1.0523	1.0449	1.0494	0.9885	0.8860	0.9435
Stundenverteilung in %
StuetzT	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Montag
-17.5	3.09	3.30	3.58	4.55	4.33	4.59	5.01	5.74	6.12	4.75	4.43	4.38	4.18	4.25	4.31	4.42	4.53	4.25	3.31	3.31	3.18	3.37	3.39	3.63
-12.5	3.39	3.59	3.66	4.44	4.30	4.34	4.99	5.50	5.57	4.78	4.53	4.47	4.26	4.29	4.27	4.38	4.26	4.05	3.57	3.39	3.45	3.63	3.25	3.64
-7.5	3.15	3.17	3.34	4.02	4.32	4.68	5.10	5.53	5.38	4.94	4.77	4.70	4.46	4.45	4.38	4.46	4.25	4.24	3.65	3.56	3.51	3.23	3.38	3.33
-2.5	3.46	3.50	3.43	3.93	4.32	4.46	5.18	5.40	5.33	5.02	4.75	4.56	4.44	4.31	4.17	4.19	4.00	4.04	3.96	3.86	3.77	3.44	3.20	3.28
2.5	3.29	3.32	3.33	3.87	4.58	4.60	5.43	5.59	5.39	5.15	4.82	4.66	4.44	4.44	4.29	4.22	3.97	4.00	3.79	3.72	3.66	3.28	3.02	3.14
7.5	2.92	3.18	3.18	3.63	4.61	5.00	6.19	6.11	5.89	5.33	4.94	4.67	4.43	4.28	4.22	4.03	3.85	3.87	3.70	3.60	3.51	3.20	2.78	2.88
12.5	2.68	3.10	3.18	3.57	4.92	5.76	7.71	6.81	5.97	5.24	4.91	4.57	4.22	4.03	3.70	3.72	3.45	3.65	3.55	3.45	3.29	3.14	2.81	2.57
17.5	2.83	3.35	3.12	3.10	4.28	5.21	8.39	6.85	5.49	4.75	4.92	4.84	5.04	4.34	4.10	3.37	3.30	3.75	3.26	3.22	3.44	3.13	2.99	2.93
22.5	2.61	3.25	3.09	3.03	4.51	5.97	9.11	7.59	5.77	4.70	4.88	4.76	5.16	4.27	3.60	3.06	2.88	3.43	3.21	3.19	3.26	3.07	2.92	2.68
27.5	2.37	3.17	3.09	2.96	4.77	6.72	9.86	8.38	6.10	4.69	4.87	4.72	5.19	4.08	3.12	2.78	2.49	3.13	3.17	3.02	3.07	2.97	2.90	2.38
Dienstag
-17.5	3.09	3.30	3.58	4.55	4.33	4.59	5.01	5.74	6.12	4.75	4.43	4.38	4.18	4.25	4.31	4.42	4.53	4.25	3.31	3.31	3.18	3.37	3.39	3.63
-12.5	3.39	3.59	3.66	4.44	4.30	4.34	4.99	5.50	5.57	4.78	4.53	4.47	4.26	4.29	4.27	4.38	4.26	4.05	3.57	3.39	3.45	3.63	3.25	3.64
-7.5	3.15	3.17	3.34	4.02	4.32	4.68	5.10	5.53	5.38	4.94	4.77	4.70	4.46	4.45	4.38	4.46	4.25	4.24	3.65	3.56	3.51	3.23	3.38	3.33
-2.5	3.46	3.50	3.43	3.93	4.32	4.46	5.18	5.40	5.33	5.02	4.75	4.56	4.44	4.31	4.17	4.19	4.00	4.04	3.96	3.86	3.77	3.44	3.20	3.28
2.5	3.29	3.32	3.33	3.87	4.58	4.60	5.43	5.59	5.39	5.15	4.82	4.66	4.44	4.44	4.29	4.22	3.97	4.00	3.79	3.72	3.66	3.28	3.02	3.14
7.5	2.92	3.18	3.18	3.63	4.61	5.00	6.19	6.11	5.89	5.33	4.94	4.67	4.43	4.28	4.22	4.03	3.85	3.87	3.70	3.60	3.51	3.20	2.78	2.88
12.5	2.68	3.10	3.18	3.57	4.92	5.76	7.71	6.81	5.97	5.24	4.91	4.57	4.22	4.03	3.70	3.72	3.45	3.65	3.55	3.45	3.29	3.14	2.81	2.57
17.5	2.83	3.35	3.12	3.10	4.28	5.21	8.39	6.85	5.49	4.75	4.92	4.84	5.04	4.34	4.10	3.37	3.30	3.75	3.26	3.22	3.44	3.13	2.99	2.93
22.5	2.61	3.25	3.09	3.03	4.51	5.97	9.11	7.59	5.77	4.70	4.88	4.76	5.16	4.27	3.60	3.06	2.88	3.43	3.21	3.19	3.26	3.07	2.92	2.68
27.5	2.37	3.17	3.09	2.96	4.77	6.72	9.86	8.38	6.10	4.69	4.87	4.72	5.19	4.08	3.12	2.78	2.49	3.13	3.17	3.02	3.07	2.97	2.90	2.38
Mittwoch
-17.5	3.09	3.30	3.58	4.55	4.33	4.59	5.01	5.74	6.12	4.75	4.43	4.38	4.18	4.25	4.31	4.42	4.53	4.25	3.31	3.31	3.18	3.37	3.39	3.63
-12.5	3.39	3.59	3.66	4.44	4.30	4.34	4.99	5.50	5.57	4.78	4.53	4.47	4.26	4.29	4.27	4.38	4.26	4.05	3.57	3.39	3.45	3.63	3.25	3.64
-7.5	3.15	3.17	3.34	4.02	4.32	4.68	5.10	5.53	5.38	4.94	4.77	4.70	4.46	4.45	4.38	4.46	4.25	4.24	3.65	3.56	3.51	3.23	3.38	3.33
-2.5	3.46	3.50	3.43	3.93	4.32	4.46	5.18	5.40	5.33	5.02	4.75	4.56	4.44	4.31	4.17	4.19	4.00	4.04	3.96	3.86	3.77	3.44	3.20	3.28
2.5	3.29	3.32	3.33	3.87	4.58	4.60	5.43	5.59	5.39	5.15	4.82	4.66	4.44	4.44	4.29	4.22	3.97	4.00	3.79	3.72	3.66	3.28	3.02	3.14
7.5	2.92	3.18	3.18	3.63	4.61	5.00	6.19	6.11	5.89	5.33	4.94	4.67	4.43	4.28	4.22	4.03	3.85	3.87	3.70	3.60	3.51	3.20	2.78	2.88
12.5	2.68	3.10	3.18	3.57	4.92	5.76	7.71	6.81	5.97	5.24	4.91	4.57	4.22	4.03	3.70	3.72	3.45	3.65	3.55	3.45	3.29	3.14	2.81	2.57
17.5	2.83	3.35	3.12	3.10	4.28	5.21	8.39	6.85	5.49	4.75	4.92	4.84	5.04	4.34	4.10	3.37	3.30	3.75	3.26	3.22	3.44	3.13	2.99	2.93
22.5	2.61	3.25	3.09	3.03	4.51	5.97	9.11	7.59	5.77	4.70	4.88	4.76	5.16	4.27	3.60	3.06	2.88	3.43	3.21	3.19	3.26	3.07	2.92	2.68
27.5	2.37	3.17	3.09	2.96	4.77	6.72	9.86	8.38	6.10	4.69	4.87	4.72	5.19	4.08	3.12	2.78	2.49	3.13	3.17	3.02	3.07	2.97	2.90	2.38
Donnerstag
-17.5	3.09	3.30	3.58	4.55	4.33	4.59	5.01	5.74	6.12	4.75	4.43	4.38	4.18	4.25	4.31	4.42	4.53	4.25	3.31	3.31	3.18	3.37	3.39	3.63
-12.5	3.39	3.59	3.66	4.44	4.30	4.34	4.99	5.50	5.57	4.78	4.53	4.47	4.26	4.29	4.27	4.38	4.26	4.05	3.57	3.39	3.45	3.63	3.25	3.64
-7.5	3.15	3.17	3.34	4.02	4.32	4.68	5.10	5.53	5.38	4.94	4.77	4.70	4.46	4.45	4.38	4.46	4.25	4.24	3.65	3.56	3.51	3.23	3.38	3.33
-2.5	3.46	3.50	3.43	3.93	4.32	4.46	5.18	5.40	5.33	5.02	4.75	4.56	4.44	4.31	4.17	4.19	4.00	4.04	3.96	3.86	3.77	3.44	3.20	3.28
2.5	3.29	3.32	3.33	3.87	4.58	4.60	5.43	5.59	5.39	5.15	4.82	4.66	4.44	4.44	4.29	4.22	3.97	4.00	3.79	3.72	3.66	3.28	3.02	3.14
7.5	2.92	3.18	3.18	3.63	4.61	5.00	6.19	6.11	5.89	5.33	4.94	4.67	4.43	4.28	4.22	4.03	3.85	3.87	3.70	3.60	3.51	3.20	2.78	2.88
12.5	2.68	3.10	3.18	3.57	4.92	5.76	7.71	6.81	5.97	5.24	4.91	4.57	4.22	4.03	3.70	3.72	3.45	3.65	3.55	3.45	3.29	3.14	2.81	2.57
17.5	2.83	3.35	3.12	3.10	4.28	5.21	8.39	6.85	5.49	4.75	4.92	4.84	5.04	4.34	4.10	3.37	3.30	3.75	3.26	3.22	3.44	3.13	2.99	2.93
22.5	2.61	3.25	3.09	3.03	4.51	5.97	9.11	7.59	5.77	4.70	4.88	4.76	5.16	4.27	3.60	3.06	2.88	3.43	3.21	3.19	3.26	3.07	2.92	2.68
27.5	2.37	3.17	3.09	2.96	4.77	6.72	9.86	8.38	6.10	4.69	4.87	4.72	5.19	4.08	3.12	2.78	2.49	3.13	3.17	3.02	3.07	2.97	2.90	2.38
Freitag
-17.5	3.52	3.54	3.58	4.18	3.73	3.84	5.11	6.03	5.54	4.77	4.40	4.30	4.02	4.06	4.62	4.13	4.12	3.97	3.87	3.84	3.76	3.73	3.80	3.54
-12.5	3.57	3.57	3.55	4.09	3.84	4.02	5.01	5.60	5.38	4.93	4.59	4.46	4.08	4.17	4.54	4.17	4.07	3.97	3.90	3.84	3.70	3.71	3.71	3.53
-7.5	3.64	3.61	3.51	4.00	3.95	4.17	4.93	5.46	5.40	5.13	4.82	4.67	4.18	4.33	4.51	4.23	4.09	3.99	3.95	3.69	3.65	3.54	3.23	3.32
-2.5	3.23	3.27	3.19	3.67	4.12	4.18	5.41	5.55	5.51	5.26	4.96	4.78	4.57	4.39	4.30	4.23	4.07	4.04	4.01	3.87	3.73	3.34	3.14	3.18
2.5	3.27	3.27	3.22	3.57	4.16	4.27	5.68	5.92	5.66	5.34	5.04	4.84	4.51	4.41	4.16	4.12	3.86	3.91	3.79	3.77	3.65	3.37	3.08	3.13
7.5	2.83	3.04	2.89	3.20	4.11	4.40	6.30	6.46	6.21	5.72	5.37	5.02	4.67	4.42	4.35	4.08	3.75	3.73	3.70	3.54	3.38	3.13	2.73	2.97
12.5	2.65	3.34	3.01	3.21	4.33	4.63	6.87	6.77	6.42	5.50	5.26	4.61	5.03	4.41	3.81	3.69	3.51	3.71	3.52	3.71	3.25	3.28	2.72	2.76
17.5	3.06	3.31	3.09	2.99	4.04	4.81	6.60	7.36	6.63	5.54	5.01	4.79	4.72	4.43	3.60	3.36	2.96	3.69	3.83	3.81	3.47	3.52	2.71	2.67
22.5	3.19	3.44	3.24	2.96	3.97	5.01	6.67	7.86	6.98	5.46	4.83	4.68	4.78	4.55	3.14	2.89	2.54	3.57	3.79	4.08	3.45	3.76	2.64	2.52
27.5	3.30	3.59	3.41	2.91	3.91	5.23	7.00	8.39	7.36	5.40	4.66	4.59	4.75	4.53	2.68	2.42	2.13	3.47	3.76	4.22	3.42	3.96	2.60	2.31
Samstag
-17.5	3.54	3.81	3.77	4.11	3.42	4.32	3.94	4.10	4.62	5.55	5.33	4.75	4.22	4.18	4.36	4.53	4.69	4.41	4.24	3.89	3.81	3.47	3.57	3.37
-12.5	3.62	3.86	3.79	4.15	3.77	4.44	4.12	4.21	4.66	4.80	4.76	4.64	4.23	4.19	4.32	4.53	4.63	4.44	4.33	4.01	3.88	3.57	3.58	3.47
-7.5	3.65	3.86	3.76	4.13	4.08	4.55	4.32	4.37	4.63	4.68	4.42	4.47	4.19	4.16	4.24	4.48	4.52	4.41	4.38	4.08	3.91	3.63	3.55	3.53
-2.5	3.51	3.59	3.44	3.76	4.27	4.46	4.40	4.57	4.48	4.54	4.43	4.40	4.31	4.28	4.42	4.46	4.52	4.48	4.63	4.27	3.98	3.67	3.60	3.53
2.5	3.66	3.80	3.64	4.04	4.64	4.63	4.84	4.80	4.65	4.44	4.19	4.13	4.04	4.04	4.03	4.22	4.39	4.52	4.49	4.19	3.91	3.70	3.43	3.58
7.5	3.55	3.59	3.37	3.72	4.77	5.44	5.23	5.16	4.94	4.64	4.52	4.28	4.15	3.88	3.85	3.85	3.90	4.17	4.40	3.97	3.97	3.48	3.75	3.42
12.5	3.31	3.68	3.48	3.53	4.71	5.22	6.11	6.17	5.42	4.58	4.47	4.70	4.36	3.60	3.91	4.13	3.28	3.39	4.33	3.91	3.50	3.65	3.23	3.33
17.5	3.27	3.28	3.55	3.22	4.49	5.19	7.29	6.52	5.84	4.56	4.73	4.32	4.42	3.59	3.87	3.69	3.25	3.29	4.17	3.75	3.27	3.54	3.01	3.89
22.5	2.97	3.82	3.67	3.03	3.39	4.94	7.92	7.34	6.39	4.85	4.61	3.96	4.50	3.74	3.86	3.18	3.02	3.14	3.97	3.92	3.32	3.75	3.09	3.62
27.5	2.76	3.84	3.70	2.84	3.22	4.67	8.52	8.13	6.78	4.22	4.50	4.85	4.56	3.30	3.84	3.10	2.81	2.76	3.84	3.59	2.96	3.90	3.89	3.42
Sonntag
-17.5	3.92	3.59	3.79	3.41	3.23	3.34	3.38	3.63	3.71	4.07	4.71	5.61	5.45	5.56	4.82	4.23	4.15	3.90	4.18	4.56	4.21	4.49	4.19	3.87
-12.5	3.87	3.62	3.74	3.51	3.71	4.13	3.64	3.78	3.85	4.10	4.54	5.30	5.11	5.20	4.64	4.23	4.12	3.97	4.18	4.43	4.17	4.30	4.05	3.81
-7.5	3.79	3.64	3.68	3.61	4.21	5.07	3.89	3.93	4.00	4.15	4.36	4.97	4.72	4.79	4.45	4.26	4.09	4.04	4.18	4.29	4.15	4.09	3.91	3.73
-2.5	3.56	3.64	3.50	3.81	4.71	5.63	4.20	4.17	4.16	4.24	4.26	4.66	4.41	4.50	4.27	4.12	4.05	4.24	4.17	4.17	4.14	3.94	3.76	3.69
2.5	3.62	3.67	3.54	3.90	5.40	6.15	4.43	4.29	4.38	4.38	4.01	4.22	3.83	3.82	4.09	4.47	4.13	4.32	4.26	4.03	4.24	3.64	3.63	3.55
7.5	2.89	3.48	3.20	4.87	6.35	7.17	4.80	4.81	4.44	4.38	4.13	4.05	3.81	3.85	3.83	3.69	3.82	4.41	4.02	3.85	4.08	3.50	3.18	3.39
12.5	3.03	3.53	3.41	5.98	7.71	9.35	5.00	4.68	4.24	3.95	3.86	3.98	3.73	3.34	3.43	3.61	3.36	3.36	3.68	3.87	3.36	3.24	3.14	3.16
17.5	3.03	3.87	4.02	6.41	9.01	10.79	4.68	4.40	3.55	3.48	3.80	3.59	3.45	3.37	3.38	3.26	3.05	3.06	3.04	3.76	3.04	3.55	2.92	3.49
22.5	2.75	4.03	4.08	8.21	10.15	10.62	5.03	4.68	3.44	3.10	3.95	3.45	3.53	3.24	3.02	3.35	2.61	2.67	2.65	3.88	2.22	3.16	2.78	3.40
27.5	2.44	4.17	4.05	10.15	12.23	12.03	5.41	4.90	3.27	2.65	4.10	3.20	3.52	2.88	2.55	2.28	2.03	2.14	2.11	3.95	1.36	2.96	2.39	3.23
GHA Einzelhandel. Großhandel
Auspraegung	A	B	C	D
GHA05	0	0	0	0	0	0	0	0
GHA34	1.8398455	-37.8282037	8.1593369	0.0259710	-0.1069262	1.4552240	-0.0004920	0.0691851
GHA33	1.9724775	-36.9650065	7.2256947	0.0345782	-0.0742174	1.0448869	-0.0008295	0.0461795
GHA02	0	0	0	0	0	0	0	0
GHA01	0	0	0	0	0	0	0	0
WTfakt	Mo	Di	Mi	Do	Fr	Sa	So
_	1.0358	1.0232	1.0252	1.0295	1.0253	0.9675	0.8935
Stundenverteilung in %
StuetzT	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Montag
-17.5	2.83	2.99	3.44	3.31	3.42	3.52	4.30	5.05	5.66	6.05	6.00	5.94	5.65	5.38	5.32	5.15	4.57	4.62	3.79	2.59	2.51	2.35	2.60	2.96	
-12.5	3.00	3.04	3.07	3.26	3.32	3.51	4.58	5.48	5.73	5.89	5.89	5.69	5.28	5.01	4.74	4.63	4.15	4.22	3.98	3.46	3.06	3.28	2.88	2.85
-7.5	2.88	2.92	3.06	3.15	3.19	3.57	4.68	5.51	5.86	5.86	5.84	5.71	5.36	4.76	4.70	4.60	4.18	4.18	4.14	3.70	3.13	3.23	2.95	2.84
-2.5	2.78	2.82	2.84	2.92	2.98	3.61	5.04	6.15	6.23	6.13	5.85	5.74	5.33	4.84	4.92	4.69	4.37	4.31	4.00	3.41	2.80	2.69	2.72	2.83
2.5	2.73	2.83	2.95	2.99	3.20	3.63	5.03	6.24	6.46	6.12	5.76	5.43	5.03	4.67	4.59	4.57	4.51	4.43	4.24	3.57	2.91	2.69	2.66	2.76
7.5	2.80	2.97	3.27	3.26	3.44	3.93	5.29	6.70	6.98	6.15	5.49	5.15	4.75	4.34	4.20	4.09	4.14	4.31	4.01	3.65	3.00	2.74	2.58	2.76
12.5	2.54	2.78	3.43	3.60	3.77	5.70	7.58	8.31	6.93	6.09	4.98	4.53	4.08	3.81	3.31	3.22	3.17	3.07	3.52	3.92	3.42	3.27	2.65	2.32
17.5	2.50	2.70	2.78	3.43	4.40	8.04	9.61	10.00	6.52	5.10	4.79	3.57	3.70	3.11	2.49	2.65	2.00	2.21	3.21	4.34	4.42	3.25	2.51	2.67
22.5	1.79	2.34	2.97	3.12	4.10	14.87	12.93	9.48	4.05	4.03	5.30	4.64	3.44	2.10	2.09	2.34	1.30	1.42	1.73	4.20	4.38	2.54	2.47	2.37
27.5	1.67	2.25	3.09	3.25	4.19	16.08	13.61	9.34	3.98	4.01	4.90	4.65	3.34	1.99	1.91	2.14	1.14	1.35	1.57	4.16	4.26	2.58	2.40	2.14
Dienstag
-17.5	2.83	2.99	3.44	3.31	3.42	3.52	4.30	5.05	5.66	6.05	6.00	5.94	5.65	5.38	5.32	5.15	4.57	4.62	3.79	2.59	2.51	2.35	2.60	2.96	
-12.5	3.00	3.04	3.07	3.26	3.32	3.51	4.58	5.48	5.73	5.89	5.89	5.69	5.28	5.01	4.74	4.63	4.15	4.22	3.98	3.46	3.06	3.28	2.88	2.85
-7.5	2.88	2.92	3.06	3.15	3.19	3.57	4.68	5.51	5.86	5.86	5.84	5.71	5.36	4.76	4.70	4.60	4.18	4.18	4.14	3.70	3.13	3.23	2.95	2.84
-2.5	2.78	2.82	2.84	2.92	2.98	3.61	5.04	6.15	6.23	6.13	5.85	5.74	5.33	4.84	4.92	4.69	4.37	4.31	4.00	3.41	2.80	2.69	2.72	2.83
2.5	2.73	2.83	2.95	2.99	3.20	3.63	5.03	6.24	6.46	6.12	5.76	5.43	5.03	4.67	4.59	4.57	4.51	4.43	4.24	3.57	2.91	2.69	2.66	2.76
7.5	2.80	2.97	3.27	3.26	3.44	3.93	5.29	6.70	6.98	6.15	5.49	5.15	4.75	4.34	4.20	4.09	4.14	4.31	4.01	3.65	3.00	2.74	2.58	2.76
12.5	2.54	2.78	3.43	3.60	3.77	5.70	7.58	8.31	6.93	6.09	4.98	4.53	4.08	3.81	3.31	3.22	3.17	3.07	3.52	3.92	3.42	3.27	2.65	2.32
17.5	2.50	2.70	2.78	3.43	4.40	8.04	9.61	10.00	6.52	5.10	4.79	3.57	3.70	3.11	2.49	2.65	2.00	2.21	3.21	4.34	4.42	3.25	2.51	2.67
22.5	1.79	2.34	2.97	3.12	4.10	14.87	12.93	9.48	4.05	4.03	5.30	4.64	3.44	2.10	2.09	2.34	1.30	1.42	1.73	4.20	4.38	2.54	2.47	2.37
27.5	1.67	2.25	3.09	3.25	4.19	16.08	13.61	9.34	3.98	4.01	4.90	4.65	3.34	1.99	1.91	2.14	1.14	1.35	1.57	4.16	4.26	2.58	2.40	2.14
Mittwoch
-17.5	2.83	2.99	3.44	3.31	3.42	3.52	4.30	5.05	5.66	6.05	6.00	5.94	5.65	5.38	5.32	5.15	4.57	4.62	3.79	2.59	2.51	2.35	2.60	2.96	
-12.5	3.00	3.04	3.07	3.26	3.32	3.51	4.58	5.48	5.73	5.89	5.89	5.69	5.28	5.01	4.74	4.63	4.15	4.22	3.98	3.46	3.06	3.28	2.88	2.85
-7.5	2.88	2.92	3.06	3.15	3.19	3.57	4.68	5.51	5.86	5.86	5.84	5.71	5.36	4.76	4.70	4.60	4.18	4.18	4.14	3.70	3.13	3.23	2.95	2.84
-2.5	2.78	2.82	2.84	2.92	2.98	3.61	5.04	6.15	6.23	6.13	5.85	5.74	5.33	4.84	4.92	4.69	4.37	4.31	4.00	3.41	2.80	2.69	2.72	2.83
2.5	2.73	2.83	2.95	2.99	3.20	3.63	5.03	6.24	6.46	6.12	5.76	5.43	5.03	4.67	4.59	4.57	4.51	4.43	4.24	3.57	2.91	2.69	2.66	2.76
7.5	2.80	2.97	3.27	3.26	3.44	3.93	5.29	6.70	6.98	6.15	5.49	5.15	4.75	4.34	4.20	4.09	4.14	4.31	4.01	3.65	3.00	2.74	2.58	2.76
12.5	2.54	2.78	3.43	3.60	3.77	5.70	7.58	8.31	6.93	6.09	4.98	4.53	4.08	3.81	3.31	3.22	3.17	3.07	3.52	3.92	3.42	3.27	2.65	2.32
17.5	2.50	2.70	2.78	3.43	4.40	8.04	9.61	10.00	6.52	5.10	4.79	3.57	3.70	3.11	2.49	2.65	2.00	2.21	3.21	4.34	4.42	3.25	2.51	2.67
22.5	1.79	2.34	2.97	3.12	4.10	14.87	12.93	9.48	4.05	4.03	5.30	4.64	3.44	2.10	2.09	2.34	1.30	1.42	1.73	4.20	4.38	2.54	2.47	2.37
27.5	1.67	2.25	3.09	3.25	4.19	16.08	13.61	9.34	3.98	4.01	4.90	4.65	3.34	1.99	1.91	2.14	1.14	1.35	1.57	4.16	4.26	2.58	2.40	2.14
Donnerstag
-17.5	2.83	2.99	3.44	3.31	3.42	3.52	4.30	5.05	5.66	6.05	6.00	5.94	5.65	5.38	5.32	5.15	4.57	4.62	3.79	2.59	2.51	2.35	2.60	2.96	
-12.5	3.00	3.04	3.07	3.26	3.32	3.51	4.58	5.48	5.73	5.89	5.89	5.69	5.28	5.01	4.74	4.63	4.15	4.22	3.98	3.46	3.06	3.28	2.88	2.85
-7.5	2.88	2.92	3.06	3.15	3.19	3.57	4.68	5.51	5.86	5.86	5.84	5.71	5.36	4.76	4.70	4.60	4.18	4.18	4.14	3.70	3.13	3.23	2.95	2.84
-2.5	2.78	2.82	2.84	2.92	2.98	3.61	5.04	6.15	6.23	6.13	5.85	5.74	5.33	4.84	4.92	4.69	4.37	4.31	4.00	3.41	2.80	2.69	2.72	2.83
2.5	2.73	2.83	2.95	2.99	3.20	3.63	5.03	6.24	6.46	6.12	5.76	5.43	5.03	4.67	4.59	4.57	4.51	4.43	4.24	3.57	2.91	2.69	2.66	2.76
7.5	2.80	2.97	3.27	3.26	3.44	3.93	5.29	6.70	6.98	6.15	5.49	5.15	4.75	4.34	4.20	4.09	4.14	4.31	4.01	3.65	3.00	2.74	2.58	2.76
12.5	2.54	2.78	3.43	3.60	3.77	5.70	7.58	8.31	6.93	6.09	4.98	4.53	4.08	3.81	3.31	3.22	3.17	3.07	3.52	3.92	3.42	3.27	2.65	2.32
17.5	2.50	2.70	2.78	3.43	4.40	8.04	9.61	10.00	6.52	5.10	4.79	3.57	3.70	3.11	2.49	2.65	2.00	2.21	3.21	4.34	4.42	3.25	2.51	2.67
22.5	1.79	2.34	2.97	3.12	4.10	14.87	12.93	9.48	4.05	4.03	5.30	4.64	3.44	2.10	2.09	2.34	1.30	1.42	1.73	4.20	4.38	2.54	2.47	2.37
27.5	1.67	2.25	3.09	3.25	4.19	16.08	13.61	9.34	3.98	4.01	4.90	4.65	3.34	1.99	1.91	2.14	1.14	1.35	1.57	4.16	4.26	2.58	2.40	2.14
Freitag
-17.5	2.83	2.99	3.44	3.31	3.42	3.52	4.30	5.05	5.66	6.05	6.00	5.94	5.65	5.38	5.32	5.15	4.57	4.62	3.79	2.59	2.51	2.35	2.60	2.96	
-12.5	3.00	3.04	3.07	3.26	3.32	3.51	4.58	5.48	5.73	5.89	5.89	5.69	5.28	5.01	4.74	4.63	4.15	4.22	3.98	3.46	3.06	3.28	2.88	2.85
-7.5	2.88	2.92	3.06	3.15	3.19	3.57	4.68	5.51	5.86	5.86	5.84	5.71	5.36	4.76	4.70	4.60	4.18	4.18	4.14	3.70	3.13	3.23	2.95	2.84
-2.5	2.78	2.82	2.84	2.92	2.98	3.61	5.04	6.15	6.23	6.13	5.85	5.74	5.33	4.84	4.92	4.69	4.37	4.31	4.00	3.41	2.80	2.69	2.72	2.83
2.5	2.73	2.83	2.95	2.99	3.20	3.63	5.03	6.24	6.46	6.12	5.76	5.43	5.03	4.67	4.59	4.57	4.51	4.43	4.24	3.57	2.91	2.69	2.66	2.76
